point_index,equity
0,10000.0
1,9969.934509403609
2,9933.745225374754
3,9895.205012561266
4,9907.973862561266
5,9874.586016927853
6,9840.367623514598
7,9918.510289407042
8,10015.309773621397
9,9965.274823621396
10,9912.235361630213
11,10020.577284053605
12,9955.545337382237
13,9901.826978445511
14,9845.264793786602
15,9875.826193786603
16,9840.081593786603
17,9816.330943786603
18,9768.25924203553
19,9808.184092035532
20,9767.748203012132
21,9770.150803012131
22,9728.693950929879
23,9687.418086504134
24,9639.713968029884
25,9731.267211018097
26,9696.558211018099
27,9701.114011018099
28,9641.996574697798
29,9576.204588824916
30,9690.671905043282
31,9630.369586013063
32,9648.814886013062
33,9606.100536013062
34,9548.415986013062
35,9676.512248925614
36,9603.253661642038
37,9674.897511642039
38,9578.331897085249
39,9460.110651022149
40,9408.46115102215
41,9299.765973509275
42,9185.819789594754
43,9195.294939594754
44,9135.553389594754
45,9311.682619694491
46,9313.39551969449
47,9216.474372678935
48,9106.535016773816
49,8992.940996888477
50,8952.793646888476
51,8869.172596888477
52,8796.622846888476
53,8735.816046888476
54,8676.981896888476
55,8723.754546888476
56,8710.142346888477
57,8645.29462371818
58,8596.13467371818
59,8568.73367371818
60,8688.990778399559
61,8627.503260869218
62,8581.83241086922
63,8548.88831086922
64,8493.243054586559
65,8597.70992415912
66,8628.16087415912
67,8720.345240215964
68,8823.969250006223
69,8888.474500006223
70,8907.035400006223
71,8901.472300006222
72,8991.373337687277
73,8943.330403911774
74,8980.241153911775
75,8925.49047555685
76,8858.209248544717
77,8786.265639724212
78,8722.258565315904
79,8683.741115315903
80,8694.872615315902
81,8670.607165315902
82,8625.179015315902
83,8561.61760619489
84,8572.94810619489
85,8568.17970619489
86,8486.63734865129
87,8498.32944865129
88,8466.17899865129
89,8413.40379865129
90,8370.933848651292
91,8394.230648651292
92,8515.409938037328
93,8561.571438037328
94,8525.673138037328
95,8633.908439059513
96,8778.640905965862
97,8778.739655965861
98,8696.647587071464
99,8614.396892412664
100,8594.482642412664
101,8760.691438539041
102,8671.410088539042
103,8593.844038539042
104,8609.070738539041
105,8804.608724673519
106,8769.41182467352
107,8664.028600315549
108,8866.892464344386
109,8807.828814344386
110,8772.437914344386
111,8760.762864344386
112,8732.876614344386
113,8689.800114344385
114,8669.454114344384
115,8639.683464344384
116,8543.876093468158
117,8736.565403872795
118,8937.578934136716
119,8945.139734136716
120,9089.413843781193
121,9034.768993781194
122,9172.467828461467
123,9158.960378461468
124,9077.475090127482
125,9142.385890127482
126,9104.923490127483
127,9241.199227201318
128,9172.458027025361
129,9306.040900469694
130,9240.974996553316
131,9167.967098147425
132,9140.111898147425
133,9291.235348135171
134,9226.075998135171
135,9199.10234813517
136,9194.854248135169
137,9390.477732039695
138,9345.194982039695
139,9538.2136169787
140,9429.266220637539
141,9637.20280291172
142,9696.688702911719
143,9600.609080238546
144,9488.078713631876
145,9683.728847462207
146,9710.358847462207
147,9751.122747462206
148,9891.610356551726
149,10041.509953278637
150,9961.099407316879
151,10122.16363678421
152,10134.149486784208
153,10143.209636784208
154,10267.70378594561
155,10228.55958594561
156,10197.38378594561
157,10152.114863549425
158,10102.234750318967
159,10193.764975881075
160,10134.28372332841
161,10075.473527583517
162,10199.317645527888
163,10341.183484171956
164,10263.596453886219
165,10405.26736771394
166,10359.657217713939
167,10280.98197932202
168,10187.944030322173
169,10366.259280568494
170,10356.913530568494
171,10519.293844814298
172,10432.790111501214
173,10608.99832331941
174,10800.874110956054
175,10711.29067406203
176,10882.364189597143
177,10827.744989597144
178,10982.862174198368
179,11164.418013838875
180,11223.246913838875
181,11405.347745592242
182,11456.780845592242
183,11382.116381212001
184,11353.999381212001
185,11282.874631212002
186,11175.778512496272
187,11151.70691249627
188,11120.236062496271
189,11278.617608406506
190,11222.156508406506
191,11227.867758406506
192,11380.830473439273
193,11302.076883099848
194,11228.237019390395
195,11309.632769390395
196,11301.614569390395
197,11403.885293012798
198,11354.603393012798
199,11348.001443012798
200,11277.895438904166
201,11219.23915348521
202,11162.108521264798
203,11089.159046002815
204,11011.6510796236
205,10936.282910432228
206,10888.796010432228
207,10858.032110432228
208,10986.147607805491
209,11130.466708074846
210,11050.748931851573
211,11045.960531851571
212,11204.501045621686
213,11347.693780331423
214,11324.767580331423
